Store_Id,Item,Product,Date,Order_Quantity,Projected_Stock,Stock_Status,Order_Reason
104.0,7218063243.0,RED BARON FH BD 3 MEAT,2025-07-09,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063243.0,RED BARON FH BD 3 MEAT,2025-07-16,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063243.0,RED BARON FH BD 3 MEAT,2025-07-23,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063243.0,RED BARON FH BD 3 MEAT,2025-07-30,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063243.0,RED BARON FH BD 3 MEAT,2025-08-06,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063244.0,RED BARON FH PEPPERONI,2025-07-09,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063244.0,RED BARON FH PEPPERONI,2025-07-16,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063244.0,RED BARON FH PEPPERONI,2025-07-23,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063244.0,RED BARON FH PEPPERONI,2025-07-30,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063244.0,RED BARON FH PEPPERONI,2025-08-06,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063245.0,RED BARON FH 5 CHEESE & GARLIC,2025-07-09,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063245.0,RED BARON FH 5 CHEESE & GARLIC,2025-07-16,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063245.0,RED BARON FH 5 CHEESE & GARLIC,2025-07-23,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063245.0,RED BARON FH 5 CHEESE & GARLIC,2025-07-30,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063245.0,RED BARON FH 5 CHEESE & GARLIC,2025-08-06,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
