Date,Store_Id,Item,Product,Day_Of_Week,Month,Price,Weather,Promotion,Stock_Level,Forecast,Std_Dev,Lower_Bound,Upper_Bound,Forecast_Generated,Days_In_Future
2025-08-03,104.0,3913116850.0,BELLATORIA BBQ CHK PIZZA,6,8,7.99,Normal,0,0,0.927816,0.21339767396450043,0.5095565327882767,1.3460754147291183,2025-08-06 14:12:21.773228,26
2025-08-04,104.0,3913116850.0,BELLATORIA BBQ CHK PIZZA,0,8,7.99,Normal,0,0,0.9256494,0.21752761006355287,0.4992952888011932,1.3520035202503204,2025-08-06 14:12:21.773228,27
2025-08-05,104.0,3913116850.0,BELLATORIA BBQ CHK PIZZA,1,8,7.99,Normal,0,0,0.9252924,0.22207016944885255,0.49003484058380126,1.3605499048233032,2025-08-06 14:12:21.773228,28
2025-08-06,104.0,3913116850.0,BELLATORIA BBQ CHK PIZZA,2,8,7.99,Normal,0,0,0.927154,0.2271527311205864,0.4819346515774727,1.3723733575701713,2025-08-06 14:12:21.773228,29
2025-08-07,104.0,3913116850.0,BELLATORIA BBQ CHK PIZZA,3,8,7.99,Normal,0,0,0.9285701,0.23214252293109894,0.47357074677944183,1.3835694366693496,2025-08-06 14:12:21.773228,30
2025-07-09,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,2,7,7.99,Normal,0,0,1.9926519,0.20922845363616946,1.5825641702651976,2.402739708518982,2025-08-06 14:12:21.773228,1
2025-07-10,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,3,7,7.99,Normal,0,0,1.9856201,0.21841821551322937,1.5575204386234283,2.4137198434352873,2025-08-06 14:12:21.773228,2
2025-07-11,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,4,7,7.99,Normal,0,0,1.9822696,0.22796100914478304,1.535466066813469,2.4290732226610183,2025-08-06 14:12:21.773228,3
2025-07-12,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,5,7,7.99,Normal,0,0,1.9859782,0.23831738948822023,1.5188761623382567,2.45308032913208,2025-08-06 14:12:21.773228,4
2025-07-13,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,6,7,7.99,Normal,0,0,1.9915591,0.24894489347934723,1.5036271566152573,2.479491139054298,2025-08-06 14:12:21.773228,5
2025-07-14,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,0,7,7.99,Normal,0,0,1.9952663,0.25938462138175966,1.486872460412979,2.5036601762294772,2025-08-06 14:12:21.773228,6
2025-07-15,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,1,7,7.99,Normal,0,0,1.9959812,0.26945746421813965,1.4678445865631105,2.5241178462982177,2025-08-06 14:12:21.773228,7
