Date,Store_Id,Item,Forecast,Product,Size,Forecast_Generated,Days_In_Future,Std_Dev,Lower_Bound,Upper_Bound
2025-08-05,104.0,3913116850.0,0.39517632133762676,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-02 22:53:01.860201,28,0.09484231712103043,0.20928537978040712,0.5810672628948463
2025-08-06,104.0,3913116850.0,0.3718676809552297,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-02 22:53:01.860201,29,0.09110758183403128,0.1932968205605284,0.550438541349931
2025-08-07,104.0,3913116850.0,0.3361466587183749,BELLATORIA BBQ CHK PIZZA,15.51 OZ,2025-08-02 22:53:01.860201,30,0.08403666467959373,0.1714347959463712,0.5008585214903786
2025-07-09,104.0,3913116852.0,0.4583837696493211,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,1,0.04813029581317872,0.3640483898554908,0.5527191494431514
2025-07-10,104.0,3913116852.0,0.5042243533599144,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,2,0.05546467886959059,0.3955135827755169,0.612935123944312
2025-07-11,104.0,3913116852.0,0.5224287088552646,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,3,0.06007930151835543,0.404673277879288,0.6401841398312412
2025-07-12,104.0,3913116852.0,0.6368898997774797,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,4,0.07642678797329756,0.48709339534981644,0.7866864042051429
2025-07-13,104.0,3913116852.0,0.612008564239645,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,5,0.07650107052995563,0.462066466000932,0.7619506624783581
2025-07-14,104.0,3913116852.0,0.4660660144634339,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,6,0.060588581880246406,0.34731239397815095,0.5848196349487168
2025-07-15,104.0,3913116852.0,0.3937951892248278,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,7,0.05316235054535176,0.2895969821559384,0.49799339629371725
2025-07-16,104.0,3913116852.0,0.46360476984684806,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,8,0.06490466777855873,0.33639162100087294,0.5908179186928232
